Event,TimeSinceStart,Days,Hours,Minutes,AvgPlantGrowth,SectionNumber,PlantType,NoOfSprinklers,NoOfHeaters,TempSensors,SoilSensors,HumiditySensor,WaterLevel,WaterNeed,SprinklerStatus,CurrentTempera,HeaterStatus,FertilizerLevel,LowDayLight,LowLightSeverity,PestAttack,PestSeverity,Power Failure,PowerOffTimeRemaining,Rain,RainTimeRemaining,WaterCutOff,WaterCutOffTimeRemaining
Section Created,1,0,0,1,1.00,2,Corn,10,5,true,true,true,10.00,2.00,Off,50.00,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,120,0,2,0,1.08,2,Corn,10,5,true,true,true,6.44,2.17,Off,37.00,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,225,0,3,45,1.25,2,Corn,10,5,true,true,true,2.32,2.50,On,41.40,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,240,0,4,0,1.25,2,Corn,10,5,true,true,true,30.00,2.50,On,42.60,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,240,0,4,0,1.25,2,Corn,10,5,true,true,true,30.00,2.50,Off,42.60,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Plant Growth slows due to Excess Water,240,0,4,0,1.25,2,Corn,10,5,true,true,true,30.00,2.50,Off,37.60,On,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,660,0,11,0,1.82,2,Corn,10,5,true,true,true,8.57,3.64,Off,76.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,735,0,12,15,1.99,2,Corn,10,5,true,true,true,3.86,3.97,On,77.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Pumps Suck Excess Water,750,0,12,30,1.99,2,Corn,10,5,true,true,true,47.66,3.97,On,77.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,750,0,12,30,1.99,2,Corn,10,5,true,true,true,47.66,3.97,Off,77.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,1305,0,21,45,2.74,2,Corn,10,5,true,true,true,4.63,5.47,On,73.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,1320,0,22,0,2.74,2,Corn,10,5,true,true,true,128.26,5.47,Off,73.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,1440,1,0,0,2.99,2,Corn,10,5,true,true,true,117.09,5.97,Off,58.80,Off,500.00,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event,1440,1,0,0,2.99,2,Corn,10,5,true,true,true,117.09,5.97,Off,58.80,Off,446.26,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,1680,1,4,0,3.24,2,Corn,10,5,true,true,true,92.37,6.47,Off,39.80,On,446.26,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,2100,1,11,0,3.82,2,Corn,10,5,true,true,true,42.81,7.64,Off,74.32,Off,446.26,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,2385,1,15,45,4.24,2,Corn,10,5,true,true,true,6.65,8.47,On,86.32,Off,446.26,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,2400,1,16,0,4.24,2,Corn,10,5,true,true,true,113.15,8.47,Off,86.32,Off,446.26,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,2880,2,0,0,4.99,2,Corn,10,5,true,true,true,40.60,9.97,Off,52.32,Off,446.26,false,0.0,false,0.0,false,0,false,0,false,0,
No Random Event Happened,2880,2,0,0,4.99,2,Corn,10,5,true,true,true,40.60,9.97,Off,52.32,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned ON,3060,2,3,0,5.15,2,Corn,10,5,true,true,true,10.65,10.30,Off,33.32,On,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3075,2,3,15,5.24,2,Corn,10,5,true,true,true,8.07,10.47,On,34.52,On,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3090,2,3,30,5.24,2,Corn,10,5,true,true,true,130.46,10.47,Off,35.72,On,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Heaters turned OFF,3540,2,11,0,5.82,2,Corn,10,5,true,true,true,47.93,11.64,Off,70.56,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,3735,2,14,15,6.15,2,Corn,10,5,true,true,true,9.31,12.30,On,79.56,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,3750,2,14,30,6.15,2,Corn,10,5,true,true,true,131.23,12.30,Off,79.56,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned ON,4305,2,23,45,6.90,2,Corn,10,5,true,true,true,11.97,13.80,On,60.56,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Sprinklers turned OFF,4320,3,0,0,6.90,2,Corn,10,5,true,true,true,133.52,13.80,Off,60.56,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
New Day,4320,3,0,0,6.99,2,Corn,10,5,true,true,true,133.52,13.97,Off,53.56,Off,356.52,false,0.0,false,0.0,false,0,false,0,false,0,
Power Failure Occurs,4320,3,0,0,6.99,2,Corn,10,5,true,true,true,133.52,13.97,Off,53.56,Off,230.78,false,0.0,false,0.0,true,20,false,0,false,0,
Fertilizers Balanced,4320,3,0,0,6.99,2,Corn,10,5,true,true,true,133.52,13.97,Off,53.56,Off,340.55,false,0.0,false,0.0,true,20,false,0,false,0,
